,screen_name,idx,clean_text,selection,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
27033,opednews,27033,Mainstream media's reaction to Michael Wolff's book exposes them as frauds,angry,Fake,1,-1,2.6,9.9,121.9,-0.243,-0.009,0.02,0.74,1.19,2.12,1.01,1.63,0.87,1.89,1.92,1.38,1.27,1.28,0.0,0.56,0.0,1.62,0.38,0.47,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45561084151268005,0.5443891286849976,0.0,0.15029798448085785,0.6430607438087463,0.20664124190807343,0.3744366765022278,7.442911010002717e-05,0.6215014457702637,7.840347097953781e-05,0.0006329012103378773,0.0032691361848264933,7.005719908192987e-06
33967,opednews,33967,"A message to Bernie supporters, a 2018 win is in your hands",angry,Fake,1,87,6.9,5.3,126.6,-0.14,0.02,0.008,1.8,0.0,0.48,2.26,0.94,4.09,1.35,0.43,0.0,0.0,0.46,0.0,0.95,0.36,2.31,1.45,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5115461349487305,0.4234484136104584,0.06500545889139175,0.03991134092211723,0.4293009042739868,0.5307878255844116,0.3379378914833069,0.005021331366151571,0.6193755269050598,2.4566304546169704e-06,0.03308014199137688,0.0036273247096687555,0.0009553597774356604
31451,opednews,31451,Donald Trump to dignitaries in Japan: I never knew we had so many countries (VIDEO),angry,Fake,1,-1,-11.1,24.0,140.9,-0.161,0.259,-0.114,1.29,0.34,0.0,1.23,0.0,0.0,0.13,0.38,0.0,0.0,0.68,0.0,0.0,0.0,0.3,0.69,0.38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44430840015411377,0.1922924965620041,0.36339908838272095,0.032278772443532944,0.7864835858345032,0.18123759329319,0.3064487874507904,0.0011529548792168498,0.6544976234436035,0.007474347483366728,0.006314415484666824,0.024074889719486237,3.7045647331979126e-05
25471,opednews,25471,What Would Happen If Sanders Ran for President in 2020?,angry,Fake,1,87,0.1,40.9,148.2,-0.049,-0.11,-0.03,2.49,1.12,0.38,2.51,0.76,0.0,0.52,3.07,1.72,0.83,0.41,0.28,0.0,0.0,1.74,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6012576222419739,0.22985750436782837,0.16888491809368134,0.0,0.998508870601654,0.0014910928439348936,0.3057064414024353,1.1200835814406673e-07,0.04479081928730011,0.03566637262701988,0.6138252019882202,1.3009581856238128e-08,1.1012638424290344e-05
36959,opednews,36959,"""Every Darn Penny"": The GOP's Philosophy on Death and Taxes",angry,Fake,1,62,-1.5,10.5,129.6,-0.201,0.126,-0.049,0.02,0.08,0.95,0.76,2.14,2.36,1.36,1.32,0.0,0.22,1.35,0.85,0.75,0.07,1.24,1.82,0.14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5189510583877563,0.2854453921318054,0.19560356438159943,0.16174066066741943,0.7353658676147461,0.10289348661899567,0.29229536652565,0.00021474673121701926,0.045418817549943924,0.04938575252890587,0.26403409242630005,0.08261605352163315,0.26603513956069946
33009,opednews,33009,The Goblin,angry,Fake,1,116,1.7,12.9,137.7,-0.003,0.233,-0.011,1.46,0.24,0.22,0.2,0.87,0.0,0.0,0.0,1.15,0.78,0.31,0.0,1.22,0.0,1.22,0.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.500862181186676,0.30605828762054443,0.19307956099510193,0.011562393978238106,0.0,0.9884375929832458,0.29020464420318604,2.968711498851917e-08,0.694598913192749,0.0008997211698442698,0.0022578986827284098,0.011974148452281952,6.465962360380217e-05
30859,opednews,30859,The Cost of Resistance,angry,Fake,1,-1,-3.7,7.3,125.5,-0.042,-0.004,0.046,0.0,0.0,0.0,0.0,1.39,0.0,0.68,2.18,1.25,1.84,0.21,0.18,0.57,0.88,0.0,0.09,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.602341890335083,0.320688396692276,0.07696975022554398,0.0,0.7923455834388733,0.2076544314622879,0.27351412177085876,0.0009548572124913335,0.6939136981964111,0.003423328511416912,0.024756452068686485,0.002572509925812483,0.0008650793461129069
23854,opednews,23854,Alabama Saves The Day. But Not Much Else.,angry,Fake,1,109,-0.5,12.1,128.1,-0.215,-0.028,-0.024,1.89,1.07,0.0,2.8,1.16,1.26,0.77,1.68,0.57,0.69,0.94,0.0,2.63,0.0,2.64,0.79,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4511774182319641,0.3951357305049896,0.15368686616420746,0.0,0.44184038043022156,0.558159589767456,0.2635863125324249,0.00016353745013475418,0.7111908793449402,0.00018682479276321828,0.022787295281887054,0.0018707411363720894,0.00021440187992993742
24543,opednews,24543,Why has the Deep State gone to war against Donald Trump?,angry,Fake,1,129,10.0,25.7,133.9,-0.041,0.0,0.032,1.53,0.64,3.4,0.44,1.38,1.71,1.49,1.53,0.47,1.23,0.73,0.44,0.0,0.25,0.9,0.0,0.65,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507610499858856,0.4405580163002014,0.10868096351623535,0.0066930209286510944,0.24380746483802795,0.7494995594024658,0.22454938292503357,0.04166538268327713,0.6552953124046326,0.0003569051332306117,0.049010735005140305,0.025223389267921448,0.0038988853339105844
27248,opednews,27248,Beatles' Ringo to be Knighted,angry,Fake,1,-1,7.5,14.4,147.1,-0.169,0.201,0.064,0.66,0.0,0.49,0.0,0.01,1.4,0.56,0.0,0.0,0.0,0.65,0.0,1.04,0.0,0.57,1.58,0.18,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.41621464490890503,0.3997458815574646,0.18403951823711395,0.02985362708568573,0.2034662365913391,0.766680121421814,0.22176378965377808,0.003929832950234413,0.23168008029460907,0.0057568419724702835,0.21142803132534027,0.0042534624226391315,0.32118797302246094
